id	net_time	start_time	end_time	op	wf_curr_app	userid	status	user_type	comments	appid	grID	internalfileid	clientid	log_id
11047	4.80000000	20230412083247	20230412083252	GuaranteeSendFunctions.asp --> Sub WriteParameters	yyy	ASERRA	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295436	9802FID	CL000000013541	LT000000010970
2199	4.79000000	20230331112932	20230331112937	ClientsFunctions.asp --> Sub PrintFID	yyy	DDESIMONE	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295029	9782FID	CL000000013531	LT000000002181
3344	4.79000000	20230403101321	20230403101326	Caricamento Pagina	XXX	FRINALDI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000003317
10420	4.78000000	20230411105703	20230411105708	ClientsFunctions.asp --> Function ShowListCommission	yyy	LCASA	GRSEGDISBURSEMENTCONFIRMATION	I	yyy	GuaranteeRequest	GR000000295420	9674FID	CL000000013404	LT000000010346
10123	4.77000000	20230411093801	20230411093805	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0200	SDELGOBBO	GRPreverification	I	yyy	GuaranteeRequest	GR000000295403	9803FID	CL000000013545	LT000000010052
2503	4.77000000	20230331140427	20230331140432	GuaranteeRequestDetail.asp --> ShowForm-Send	#WF0100	MUGLIONI21		E	yyy	GuaranteeRequest	GR000000294746		CL000000013522	LT000000002484
1805	4.77000000	20230331094256	20230331094301	ClientsFunctions.asp --> Sub PrintFID	yyy	DDESIMONE	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295105	9784FID	CL000000013529	LT000000001789
1860	4.77000000	20230331095857	20230331095902	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0500A	DDESIMONE	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295105	9784FID	CL000000013529	LT000000001843
136	4.76000000	20230330092607	20230330092612	Caricamento Pagina	XXX	FFAILLI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000000134
7869	4.76000000	20230405111242	20230405111247	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0600F	MGUANDALINI	GRDISBURSEMENTSEG	I	yyy	GuaranteeRequest	GR000000295246	9758FID	CL000000013486	LT000000007808
9014	4.76000000	20230406112900	20230406112905	ClientsFunctions.asp --> Sub PrintFID	yyy	ASERRA	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295350	9797FID	CL000000013562	LT000000008944
8772	4.75000000	20230406091118	20230406091123	GuaranteeSendFunctions.asp --> Sub ComputeAPR	yyy	ASERRA	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295366	9799FID	CL000000013561	LT000000008703
285	4.75000000	20230330101950	20230330101955	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0500A	DDESIMONE	GRISTVerification	I	yyy	GuaranteeRequest	GR000000294917	9768FID	CL000000013526	LT000000000281
12065	4.75000000	20230412145457	20230412145502	Caricamento Pagina	XXX	FRINALDI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000011982
